,precision,recall,f1-score,support
frontal,0.9651162790697675,1.0,0.9822485207100593,166.0
frontal_90,0.9880239520958084,0.9939759036144579,0.990990990990991,166.0
frontal_180,0.9942196531791907,1.0,0.9971014492753623,172.0
frontal_270,0.9939759036144579,0.9939759036144579,0.9939759036144579,166.0
left,0.9137931034482759,0.9814814814814815,0.9464285714285714,162.0
left_90,0.9937888198757764,0.9876543209876543,0.9907120743034055,162.0
left_180,0.9815950920245399,0.9876543209876543,0.9846153846153846,162.0
left_270,0.9870967741935484,0.9444444444444444,0.9652996845425867,162.0
lower,0.994475138121547,1.0,0.9972299168975068,180.0
lower_90,0.9948979591836735,0.9948979591836735,0.9948979591836735,196.0
lower_180,0.9949238578680203,1.0,0.9974554707379135,196.0
lower_270,0.9849246231155779,1.0,0.9924050632911393,196.0
others,0.9974811083123426,0.9974811083123426,0.9974811083123426,397.0
right,0.9887005649717514,0.9668508287292817,0.9776536312849162,181.0
right_90,0.956989247311828,0.9834254143646409,0.9700272479564033,181.0
right_180,0.9939393939393939,0.9060773480662984,0.9479768786127166,181.0
right_270,0.9836065573770492,0.994475138121547,0.989010989010989,181.0
upper,0.9488636363636364,0.9940476190476191,0.9709302325581396,168.0
upper_90,1.0,0.9821428571428571,0.9909909909909909,168.0
upper_180,1.0,0.9404761904761905,0.9693251533742331,168.0
upper_270,0.9940476190476191,0.9940476190476191,0.9940476190476191,168.0
accuracy,0.9840164990977056,0.9840164990977056,0.9840164990977056,0.9840164990977056
macro avg,0.9833552039578002,0.9830051646486773,0.982895468606638,3879.0
weighted avg,0.9844686784948419,0.9840164990977056,0.9839780145003475,3879.0
