,precision,recall,f1-score,support
frontal,1.0,1.0,1.0,166.0
frontal_90,0.9822485207100592,1.0,0.9910447761194029,166.0
frontal_180,0.9885057471264368,1.0,0.9942196531791908,172.0
frontal_270,1.0,1.0,1.0,166.0
left,0.9938650306748467,1.0,0.9969230769230769,162.0
left_90,0.9937888198757764,0.9876543209876543,0.9907120743034055,162.0
left_180,0.9937888198757764,0.9876543209876543,0.9907120743034055,162.0
left_270,0.9938271604938271,0.9938271604938271,0.9938271604938271,162.0
lower,0.972972972972973,1.0,0.9863013698630138,180.0
lower_90,0.9949238578680203,1.0,0.9974554707379135,196.0
lower_180,1.0,0.9744897959183674,0.9870801033591732,196.0
lower_270,1.0,1.0,1.0,196.0
others,1.0,1.0,1.0,397.0
right,1.0,0.994475138121547,0.9972299168975068,181.0
right_90,0.994413407821229,0.9834254143646409,0.9888888888888889,181.0
right_180,1.0,0.994475138121547,0.9972299168975068,181.0
right_270,0.994475138121547,0.994475138121547,0.994475138121547,181.0
upper,0.9767441860465116,1.0,0.988235294117647,168.0
upper_90,1.0,1.0,1.0,168.0
upper_180,1.0,0.9761904761904762,0.9879518072289156,168.0
upper_270,1.0,0.9940476190476191,0.9970149253731343,168.0
accuracy,0.9945862335653519,0.9945862335653519,0.9945862335653519,0.9945862335653519
macro avg,0.9942644600755716,0.9943197391597561,0.9942524593717883,3879.0
weighted avg,0.9946615150557919,0.9945862335653519,0.99458590928372,3879.0
