,precision,recall,f1-score,support
frontal,0.9880952380952381,1.0,0.9940119760479043,166.0
frontal_90,0.9764705882352941,1.0,0.988095238095238,166.0
frontal_180,0.9772727272727273,1.0,0.9885057471264368,172.0
frontal_270,0.9880239520958084,0.9939759036144579,0.990990990990991,166.0
left,0.9695121951219512,0.9814814814814815,0.9754601226993865,162.0
left_90,0.99375,0.9814814814814815,0.9875776397515528,162.0
left_180,0.9875776397515528,0.9814814814814815,0.9845201238390092,162.0
left_270,0.9876543209876543,0.9876543209876543,0.9876543209876543,162.0
lower,0.8689320388349514,0.9944444444444445,0.9274611398963731,180.0
lower_90,1.0,0.9948979591836735,0.9974424552429668,196.0
lower_180,1.0,0.8469387755102041,0.9171270718232044,196.0
lower_270,1.0,0.9948979591836735,0.9974424552429668,196.0
others,1.0,1.0,1.0,397.0
right,0.9944444444444445,0.988950276243094,0.9916897506925207,181.0
right_90,1.0,0.9779005524861878,0.988826815642458,181.0
right_180,0.9942857142857143,0.9613259668508287,0.9775280898876405,181.0
right_270,0.989010989010989,0.994475138121547,0.9917355371900827,181.0
upper,0.9710982658959537,1.0,0.9853372434017595,168.0
upper_90,0.9940828402366864,1.0,0.9970326409495549,168.0
upper_180,0.9940119760479041,0.9880952380952381,0.991044776119403,168.0
upper_270,0.9940828402366864,1.0,0.9970326409495549,168.0
accuracy,0.9842742974993555,0.9842742974993555,0.9842742974993555,0.9842742974993555
macro avg,0.9842050366930264,0.9841905228174023,0.9836436560274597,3879.0
weighted avg,0.985250357116969,0.9842742974993555,0.9841980880374396,3879.0
